id	date	type	header	text
1860-11-10_advert_1	1860-11-10	advert	Second supply of splendidSilks, Dress Goods, &amp; c.Watkins &amp; Ficklen,Wholesale and retail Dealers inDry Goods,1059 Main street, Richmond.	;;; Second supply of splendidSilks, Dress Goods, &amp; c.Watkins &amp; Ficklen,Wholesale and retail Dealers inDry Goods,1059 Main street, Richmond.;;; We have selected with great care, and are receiving by various arrivals, our second supply of superior;;; Dry Goods;;;  For Autumn and Winter Sales — among which will be found the;;; choicest Dress Silks, Velours, me-;;; Rings, Poplins and Delaines,;;; is all the New Shades and combinations, viz:;;; Fuchsia, Black and Gold,;;; Magenta, Black and Fuchsia,;;; Solferino, Black and Chintz,;;; Marguerite, Magenta and Gold,;;; Mauve, Blue and Gold,;;; and;;; Peach Bloom, Marguerite and magenta,;;; Our collection of these rare and beautiful goods, forms one of the most select and tasteful assortments we have ever offered.;;; In Traveling and Medium Dress Goods we have a fresh and handsome variety.;;; In Embroideries, we have the Large Pointed and Patti Lace Collars, lapping in front.;;; Also, new Lace Sets; White and Colored Embroidered Hdkfs; Lace Berthas,&amp;c.;;; In Cloaks and Mantillas, of our own manufacture — In Velvet, Silk, Black and Colored Cloths, in the Arab, Opera and Zouave style, and other Paris patterns, our assortment is complete, and in prices defy competition Orders for any style of Wrapping executed at a few hours' notice.;;; New Kid Gloves, in various shades, with scolloped wristlets, a choice novelty.;;; Kid Gauntlets. Figured Velvet tops.;;;  Our stock of Super Ingrain, three-ply and Tapestry Carpets and Rugs, in new designs, has just been replenished, and offers inducements in quality and price.;;; To our supply of;;; White Goods.;;;  Irish Linens.;;;  Table Damasks.;;;  Curtain Goods,;;;  Linen Sheetings.;;;  Bleaches Long Cloths,;;; Cloths, Cassimeres and Vestings.;;; Satinets, for Factories.;;; Va. Fulled Cloths,;;;  Blankets,;;; Brown Cottons,;;;  Oznaburgs and;;; Linseys,;;; We invite the especial attention of all cash and Prompt credit buyers, assuring the closest and most discriminating that they will find unusual advantages in our terms and prices.;;; Wholesale Buyers also supplied on the best terms, and prices guaranteed.;;; Watkins &amp; Ficklen.;;; N. B — A splendid assortment of Dress and Cloak Trimmings, in all the new colors.;;; W. &amp; F. oc 21--1m;;; 
1860-11-10_advert_2	1860-11-10	advert	New and beautifulFall and Winter Goods!	;;; New and beautifulFall and Winter Goods!;;; The subscriber would respectfully announce to his friends and the public generally, that he is now receiving a large and beautiful stock of;;; Fall and Winter Goods,;;; Selected with great care, and at prices that will enable him to sell unusually low, for cash.;;; My stock consists in;;; Ladies' Dress Goods,;;;  In great variety and all the newest designs.;;; In Gents' wear, a splendid assortment of;;; Cloths, Cassimeres,;;; Velvet and Silk Vestings,;;; Neck Ties, Merino Shirts,;;;  Drawers, &amp;c.;;; Also, a large and attractive stock of heavy Goods, of every grade, for negro clothing.;;; Fine Bed Blankets.;;; Negro Blankets.;;;  And every other article usually kept in a first-class Dry Goods House.;;; Call and examine for yourselves.;;; John L. Smither,;;;  No. 29 Main street.;;; 
1860-11-10_advert_3	1860-11-10	advert	Baker's Premium Bitters.	;;; Baker's Premium Bitters.;;;    Henrico County, Oct. 1, 1860.  E. E. Baker, Esq.: Dear Sir,;;; --My wife has been suffering with Dyspepsia and Nervous Affection for several years, during which time she was as ill as possible to be alive; all hopes of life, by her physician, as well as by her relatives and friends, were blasted.;;; Finally, she commenced, in small quantities, the use of Baker's Premium Bitters, which, in the course of eight weeks, (by daily using them,) restored her to perfect health.;;; I am equally gratified to state that my child about eight years old was long suffering with the DiarrhŒa, attended daily by an able physician, without giving any relief; but the use of one bottle of these Inestimable Bitters restored him entirely to health and vigor.;;; It is my firm opinion, substantiated by that of my family physician's, that Baker's Premium Bitters is the best medicine now before the public for the above mentioned diseases.   Yours, most truly, P. W.  J.  Quarles.  These Bitters can be had of all the Druggists in this city and at every respectable Drug Store in the State. Orders filled promptly by addressing  E. Baker, Proprietor,  Richmond, Va.  oc 30--ts;;; 
1860-11-10_advert_4	1860-11-10	advert	1860.--Fall and Winter Goods.--1860.Great Rush for Bargains.Tremendous Excitement.	;;; 1860.--Fall and Winter Goods.--1860.Great Rush for Bargains.Tremendous Excitement.;;; Having received a fresh supply of all kinds of Dress Goods, Domestics, Boots and Shoes, we are now enabled to suit every one who will favor us with a call.;;; As regards prices, we feel confident we cannot be beaten, as we have bought some of the cheapest Goods ever brought to this market.;;; Linen Hdkfs. at 6 ¼c., worth 12 ½c.;;; Blankets at $2 per pair, cheap at $3.;;; Bosoms at 12 ½c., cheap at 25;;; Ladies' Morocco Bootees at $1 a $1.25, sold everywhere at $1.50.;;; Hoop Skirts from 25 up,;;; And everything usually kept in a Dry Goods store, at prices guaranteed to please.;;; Country merchants would do well to give us a call and examine our stock, before purchasing elsewhere.;;; Wertheimer &amp; Lowenberg,;;; No. 25 Main street. oc 25--1m;;; 
1860-11-10_advert_5	1860-11-10	advert	NO HEADER	;;; Rheumatism!;;; Rheumatism!!;;; Rheumatism Cured by;;; Hampton's Tincture!;;; Rheumatism--Captain Canot.;;; Rheumatism — Inflammatory, James Smyth.;;; Rheumatism — Had it 15 years, F. Donnelly.;;; Rheumatism — Had it 10 years, Stephen Taylor.;;; Rheumatism — Had it 11 years, A. Kitchen.;;; Rheumatism — Had it 7 years, Robert Gault.;;; Rheumatism — Had it 38 years, E. Bogwell.;;; if You have A Cough,;;; take Hampton's Tincture.;;; if You have Dyspepsia,;;; take Hampton's Tincture.;;; if You have Bronchitis,;;; take Hampton's Tincture.;;; if You are all Weakness,;;; take Hampton's Tincture.;;; if You have Headache,;;; take Hampton's Tincture.;;; Call and get pamphlets and see cures.;;; Sold by Purcell, Ladd &amp; Co. Richmond; by Dr. Cooke, Fredericksburg; by all the Druggists in Petersburg: by Mortimer &amp; Mowbray, Baltimore; and by Druggists and Shopkeepers everywhere.;;; $1 per bottle; six bottles, $5;;; oc 6--d&amp;cwts;;; 
1860-11-10_advert_6	1860-11-10	advert	All Medicines should be prepared bya regular Physician.	;;; All Medicines should be prepared bya regular Physician.;;; Dr. J. S. Rose's Cough Syrup, for Coughs, Colds, Hoarseness, Bronchitis, and that lion of diseases, Consumption.;;; Price 50 cts. and $1.;;; Dr. J. S. Rose's Buchu Compound, for all diseases of the Kidneys and Bladder.;;; This preparation is a positive cure.;;; Price 50 cts.;;; Dr J. S. Rose's Pain Curer, for Rheumatism, Cholic, Cramps, Pains in the Stomach or Bowels, Pains in the Back or Limbs.;;; Price, 12, 25 and 50 cts.;;; Dr. J. S. Rose's Alternative Syrup, or Blood Purifier, for the cure of Scrofula, old Eruptions, Chronic Diseases, Ulcers, Sores Swelled Neck, Biles, and all diseases arising from an impure state of the blood, Price $1.;;; Sold by Druggists, and by;;; Warren L. Waring, Agent for Richmond.;;; 107 Broad st. ja 21--1v;;; 
1860-11-10_advert_7	1860-11-10	advert	NO HEADER	;;; Leeches!;;; Leeches!! Leeches!!!;;; I have just received, by Adams' Express, a lot of fresh Swedish Leeches, the very best, and large size, which will be applied upon the most reasonable terms;;; P. S.--Cupping and Leeching promptly attended to. I can be found at all hours of the day at the Hair Dressing Room, under the American Hotel, (entrance on 11th street,) and at night at the corner of Leigh and 10th streets.;;; R. C. Hobson. ap 19--ts;;; 
1860-11-10_advert_8	1860-11-10	advert	Baths, Baths, Baths.Hot, Cold and shower Baths,	;;; Baths, Baths, Baths.Hot, Cold and shower Baths,;;; can be had daily, from 6 o'clock A. M, until 10 P. M., at the American Hair Cutting. Shaving, Shampooing and Bathing Saloon, under the American Hotel, entrance on 11th street, Single Bath 25 cts; or five tickets for $1.;;; 
1860-11-10_advert_9	1860-11-10	advert	NO HEADER	;;; Lumber Card.;;; --Eugene Carrington having purchased the stock of Lumber of the late Edward E. Dudley, will continue the business at the old yard, corner Franklin and 19th streets, where he will be happy to serve the old customers of Mr. Dudley and the public generally.;;; Stock on hand--White Pine, Yellow Pine, Flooring, Walnut, Cherry, Ash Mahogany, Maple, Button Wood, Lathes, Shingles, &amp;c. Eugene Carrington,;;; Corner Franklin and 19th sts. no 1--d1m;;; 
1860-11-10_advert_10	1860-11-10	advert	NO HEADER	;;; Hall has had great success in taking measures and orders.;;; Call in and look at his samples for Suits.;;; Always on hand a large stock of Ready-made Clothing and Gents' Furnishing Goods.;;; Irving Hull, Agent.;;; 94 Main street. no 2--2w;;; 
